티커,Name,Market,Sector,Industry,종가,거래량,거래대금,등락률,공매도거래대금,공매도비중,개인_순매수량,개인_순매수대금,외국인_순매수량,외국인_순매수대금,기관합계_순매수량,기관합계_순매수대금,금융투자_순매수량,금융투자_순매수대금,보험_순매수량,보험_순매수대금,투신_순매수량,투신_순매수대금,은행_순매수량,은행_순매수대금,연기금_순매수량,연기금_순매수대금,사모_순매수량,사모_순매수대금,기타법인_순매수량,기타법인_순매수대금,기타외국인_순매수량,기타외국인_순매수대금
004365,세방우,KOSPI,기타/미분류,기타/미분류,9960,4311,42936060,1.22,0,0.0,-3031.0,-30197080.0,2896.0,28855720.0,135.0,1341360.0,135.0,1341360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
004490,세방전지,유가,일차전지 및 이차전지 제조업,"자동차용 및 산업용 축전지(연축전지) 제조,판매",63700,131496,8308593900,2.08,1062724200,10.49,-22371.0,-1430532650.0,-29520.0,-1866356750.0,54104.0,3435795600.0,-6280.0,-394440100.0,-6.0,-381700.0,22510.0,1430341600.0,0.0,0.0,31965.0,2028486700.0,7898.0,498106200.0,-111.0,-6991200.0,-2102.0,-131915000.0
001430,세아베스틸지주,유가,1차 철강 제조업,"특수강,철도용품,자동차부품 제조,수출입",46250,263665,12391780625,-6.57,2089072025,11.59,119049.0,5594638150.0,-43263.0,-2047333275.0,-75102.0,-3514072400.0,-1459.0,-66270525.0,-8047.0,-376724550.0,-48234.0,-2257755575.0,-280.0,-13169100.0,-5217.0,-244010850.0,-11866.0,-556189150.0,-595.0,-28152225.0,-89.0,-5080250.0
306200,세아제강,유가,1차 철강 제조업,강관,146000,28200,4311681600,-2.67,332982100,5.13,2019.0,305622150.0,-332.0,-59075150.0,-1266.0,-180910200.0,-633.0,-91522200.0,-7.0,-997900.0,-202.0,-30186800.0,-11.0,-1650800.0,261.0,39998100.0,-674.0,-96550600.0,-21.0,-3980900.0,-400.0,-61655900.0
003030,세아제강지주,유가,기타 금융업,경영컨설팅업,142000,51456,7677217550,-4.57,628733700,6.43,19418.0,2890844500.0,-19188.0,-2853526450.0,-650.0,-104310950.0,639.0,82591700.0,-414.0,-59163500.0,-206.0,-25653550.0,-11.0,-1636200.0,-666.0,-103181650.0,8.0,2729850.0,331.0,50337600.0,89.0,16655300.0
058650,세아홀딩스,유가,1차 철강 제조업,지주회사/투자 및 경영컨설팅/부동산 임대,129800,6148,804452500,-0.15,30534700,3.8,2054.0,269597300.0,-2026.0,-265483500.0,-409.0,-54161800.0,-201.0,-27030800.0,0.0,0.0,-5.0,-649000.0,-6.0,-783500.0,-218.0,-28400700.0,21.0,2702200.0,308.0,40527200.0,73.0,9520800.0
013000,세우글로벌,유가,기타 전문 도매업,"화공약품.엔지니어링 플라스틱,페놀계제품,석유화학제품 판매/철재가구,사무목재가구 제조/교육사업",1345,29000,38803921,1.89,107113,0.28,8698.0,11656893.0,-8605.0,-11529178.0,-86.0,-118440.0,-86.0,-118440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-9275.0
021820,세원정공,유가,자동차 신품 부품 제조업,"자동차부품(차체류,램프류) 제조",12090,16674,201453090,-1.23,411140,0.2,6836.0,82229710.0,-4839.0,-58218920.0,-2564.0,-30904210.0,6.0,71630.0,0.0,0.0,0.0,0.0,0.0,0.0,-2570.0,-30975840.0,0.0,0.0,0.0,0.0,567.0,6893420.0
067830,세이브존I&C,유가,종합 소매업,"대형할인점(백화점)/부동산 임대/주차장,문화센터 운영",2500,53646,132239124,0.6,352305,0.27,-1242.0,-2992986.0,8134.0,19995440.0,-7199.0,-17754994.0,1467.0,3602820.0,0.0,0.0,0.0,0.0,-227.0,-559939.0,-8439.0,-20797875.0,0.0,0.0,0.0,0.0,307.0,752540.0
075580,세진중공업,유가,선박 및 보트 건조업,"선박 Deck House, LPG Tank, Upper Deck Unit, 해양플랜트 Living Quarter",16400,222318,3685550750,1.49,304430700,5.49,-35709.0,-594252100.0,-526.0,-7561130.0,30566.0,507247380.0,-1336.0,-22601570.0,-5000.0,-81736640.0,-1953.0,-31732370.0,0.0,0.0,39692.0,656697700.0,-837.0,-13379740.0,-87.0,-1451170.0,5756.0,96017020.0
