티커,공매도잔고,상장주식수,공매도금액,시가총액,비중,시장
35320K,0,2095519,0,69256902950.0,0.0,KOSPI
000490,543612,28826865,3990112080,211589189100.0,1.89,KOSPI
005750,73977,16592240,323279490,72508088800.0,0.45,KOSPI
006570,80700,15225000,148488000,28014000000.0,0.53,KOSPI
001680,330997,34648025,5987735730,626782772250.0,0.96,KOSPI
001685,0,1370223,0,19923042420.0,0.0,KOSPI
084690,207820,36212538,1729062400,301288316160.0,0.57,KOSPI
084695,0,913482,0,12094501680.0,0.0,KOSPI
128820,274876,45235478,1418360160,233415066480.0,0.61,KOSPI
117580,88861,27500000,628247270,194425000000.0,0.32,KOSPI
016710,42591,16089459,300692460,113591580540.0,0.26,KOSPI
0030R0,0,59780000,0,245098000000.0,0.0,KOSPI
003540,124908,49219763,3691031400,1454443996650.0,0.25,KOSPI
003547,0,9803333,0,189596460220.0,0.0,KOSPI
003545,0,25191667,0,505092923350.0,0.0,KOSPI
009190,315182,43986275,655578560,91491452000.0,0.72,KOSPI
014160,478612,108394549,377624868,85523299161.0,0.44,KOSPI
047040,5584779,410907638,117559597950,8649605779900.0,1.36,KOSPI
003090,227218,58141980,3794540600,970971066000.0,0.39,KOSPI
069620,44409,11586575,5253584700,1370691822500.0,0.38,KOSPI
000430,94684,62000000,568104000,372000000000.0,0.15,KOSPI
006340,937684,78414416,9601884160,802963619840.0,1.2,KOSPI
006345,23500,2621200,239935000,26762452000.0,0.9,KOSPI
003220,283149,22427583,2984390460,236386724820.0,1.26,KOSPI
024890,0,8249830,0,23429517200.0,0.0,KOSPI
012800,214807,91140499,274523346,116477557722.0,0.24,KOSPI
015230,0,27143620,0,164490337200.0,0.0,KOSPI
001070,39917,5300000,228325240,30316000000.0,0.75,KOSPI
006650,12862,6500000,1525433200,770900000000.0,0.2,KOSPI
001440,52618,195992596,2036316600,7584913465200.0,0.03,KOSPI
084010,162523,34371596,1290432620,272910472240.0,0.47,KOSPI
001790,173608,86241915,420999400,209136643875.0,0.2,KOSPI
001795,0,6482760,0,13743451200.0,0.0,KOSPI
001130,9496,16900000,109678800,195195000000.0,0.06,KOSPI
439260,108652,38088730,6616906800,2319603657000.0,0.29,KOSPI
003490,894919,368220661,22238737150,9150283425850.0,0.24,KOSPI
003495,0,1110794,0,23826531300.0,0.0,KOSPI
